"ProductID,ProductName,Category,DemandLevel,Criticality,ShelfLifeMonths,CategoryID,UnitPrice,PreferredSupplierType,ReorderLevel,SafetyStock"
"MED036,Amlodipine,Cardiovascular,Medium,High,36,CAT004,393,Imported,400,200"
"MED037,Captopril,Cardiovascular,Medium,High,36,CAT004,84,Imported,400,200"
"MED038,Enalapril,Cardiovascular,Medium,High,36,CAT004,273,Imported,400,200"
"MED039,Losartan,Cardiovascular,Medium,High,36,CAT004,349,Imported,400,200"
"MED040,Valsartan,Cardiovascular,Medium,High,36,CAT004,160,Imported,400,200"
"MED041,Bisoprolol,Cardiovascular,Medium,High,36,CAT004,336,Imported,400,200"
"MED042,Metoprolol,Cardiovascular,Medium,High,36,CAT004,164,Imported,400,200"
"MED043,Atenolol,Cardiovascular,Medium,High,36,CAT004,50,Imported,400,200"
"MED044,Furosemide,Cardiovascular,Medium,High,36,CAT004,358,Imported,400,200"
"MED045,Spironolactone,Cardiovascular,Medium,High,36,CAT004,196,Imported,400,200"
"MED046,Hydrochlorothiazide,Cardiovascular,Medium,High,36,CAT004,303,Imported,400,200"
"MED047,Atorvastatin,Cardiovascular,Medium,High,36,CAT004,118,Imported,400,200"
"MED048,Rosuvastatin,Cardiovascular,Medium,High,36,CAT004,345,Imported,400,200"
"MED049,Clopidogrel,Cardiovascular,Medium,High,36,CAT004,43,Imported,400,200"
"MED050,Warfarin,Cardiovascular,Medium,High,36,CAT004,271,Imported,400,200"
"MED051,Salbutamol Inhaler,Respiratory,Medium,High,24,CAT006,304,Imported,400,200"
"MED052,Budesonide Inhaler,Respiratory,Medium,High,24,CAT006,92,Imported,400,200"
"MED053,Ipratropium,Respiratory,Medium,High,24,CAT006,131,Imported,400,200"
"MED054,Montelukast,Respiratory,Medium,High,24,CAT006,303,Imported,400,200"
"MED055,Theophylline,Respiratory,Medium,High,24,CAT006,74,Imported,400,200"
"MED056,Acetylcysteine,Respiratory,Medium,High,24,CAT006,245,Imported,400,200"
"MED057,Ambroxol,Respiratory,Medium,High,24,CAT006,120,Imported,400,200"
"MED058,Dexamethasone Neb,Respiratory,Medium,High,24,CAT006,89,Imported,400,200"
"MED059,Prednisolone,Respiratory,Medium,High,24,CAT006,41,Imported,400,200"
"MED060,Hydrocortisone,Respiratory,Medium,High,24,CAT006,93,Imported,400,200"
"MED061,Normal Saline,IV Fluids,High,High,24,CAT002,23,Local,800,200"
"MED062,Ringer Lactate,IV Fluids,High,High,24,CAT002,73,Local,800,200"
"MED063,Dextrose 5%,IV Fluids,High,High,24,CAT002,112,Local,800,200"
"MED064,Dextrose 10%,IV Fluids,High,High,24,CAT002,82,Local,800,200"
"MED065,Half Saline,IV Fluids,High,High,24,CAT002,37,Local,800,200"
"MED066,DNS,IV Fluids,High,High,24,CAT002,109,Local,800,200"
"MED067,Sterile Water,IV Fluids,High,High,24,CAT002,63,Local,800,200"
"MED068,Mannitol,IV Fluids,High,High,24,CAT002,53,Local,800,200"
"MED069,Albumin,IV Fluids,High,High,24,CAT002,93,Local,800,200"
"MED070,Plasma Expander,IV Fluids,High,High,24,CAT002,81,Local,800,200"
"MED071,Adrenaline,Emergency,Low,Critical,24,CAT008,319,Imported,150,300"
"MED072,Atropine,Emergency,Low,Critical,24,CAT008,320,Imported,150,300"
"MED073,Dopamine,Emergency,Low,Critical,24,CAT008,505,Imported,150,300"
"MED074,Dobutamine,Emergency,Low,Critical,24,CAT008,511,Imported,150,300"
"MED075,Nitroglycerin,Emergency,Low,Critical,24,CAT008,301,Imported,150,300"
"MED076,Amiodarone,Emergency,Low,Critical,24,CAT008,345,Imported,150,300"
"MED077,Lidocaine,Emergency,Low,Critical,24,CAT008,387,Imported,150,300"
"MED078,Calcium Gluconate,Emergency,Low,Critical,24,CAT008,102,Imported,150,300"
"MED079,Magnesium Sulfate,Emergency,Low,Critical,24,CAT008,266,Imported,150,300"
"MED080,Naloxone,Emergency,Low,Critical,24,CAT008,237,Imported,150,300"
"MED081,Omeprazole,Gastrointestinal,Medium,Medium,36,CAT009,148,Local,400,100"
"MED082,Pantoprazole,Gastrointestinal,Medium,Medium,36,CAT009,65,Local,400,100"
"MED083,Esomeprazole,Gastrointestinal,Medium,Medium,36,CAT009,181,Local,400,100"
"MED084,Famotidine,Gastrointestinal,Medium,Medium,36,CAT009,39,Local,400,100"
"MED085,Domperidone,Gastrointestinal,Medium,Medium,36,CAT009,69,Local,400,100"
"MED086,Ondansetron,Gastrointestinal,Medium,Medium,36,CAT009,89,Local,400,100"
"MED087,Lactulose,Gastrointestinal,Medium,Medium,36,CAT009,113,Local,400,100"
"MED088,ORS,Gastrointestinal,Medium,Medium,36,CAT009,95,Local,400,100"
"MED089,Loperamide,Gastrointestinal,Medium,Medium,36,CAT009,33,Local,400,100"
"MED090,Hyoscine,Gastrointestinal,Medium,Medium,36,CAT009,112,Local,400,100"
"MED091,Hepatitis B Vaccine,Vaccines,Low,Critical,12,CAT003,1352,Imported,150,300"
"MED092,BCG Vaccine,Vaccines,Low,Critical,12,CAT003,847,Imported,150,300"
"MED093,MMR Vaccine,Vaccines,Low,Critical,12,CAT003,1286,Imported,150,300"
"MED094,Tetanus Vaccine,Vaccines,Low,Critical,12,CAT003,1362,Imported,150,300"
"MED095,Influenza Vaccine,Vaccines,Low,Critical,12,CAT003,792,Imported,150,300"
"MED096,Propofol,Anesthesia,Low,Critical,24,CAT010,491,Imported,150,300"
"MED097,Ketamine,Anesthesia,Low,Critical,24,CAT010,518,Imported,150,300"
"MED098,Midazolam,Anesthesia,Low,Critical,24,CAT010,388,Imported,150,300"
"MED099,Thiopental,Anesthesia,Low,Critical,24,CAT010,478,Imported,150,300"
"MED100,Succinylcholine,Anesthesia,Low,Critical,24,CAT010,330,Imported,150,300"
